,Rank,"Player (yrs, age)",Home Runs per 9 IP,Throws
623,623.,Bob Tewksbury (13),0.7072,R
624,625.,Roy Mahaffey (9),0.7074,R
625,626.,Vida Blue (17),0.7080,L
626,627.,Dave LaPoint (12),0.7083,L
627,628.,Chris Short (15),0.7084,L
628,629.,Larry Dierker (14),0.7096,R
629,630.,Jack Billingham (13),0.7099,R
630,631.,Mike Cuellar (15),0.7115,L
631,632.,Bob Friend (16),0.7128,R
632,633.,Skip Lockwood (13),0.7136,R
633,634.,Tim Hudson (17),0.7139,R
634,635.,Steve Carlton+ (24),0.7141,L
635,635.,Don McMahon (18),0.7141,R
636,637.,Larry Jackson (14),0.7144,R
637,638.,Syl Johnson (19),0.7148,R
638,639.,Tom Seaver+ (20),0.7150,R
639,640.,Steve Blass (10),0.7212,R
640,641.,Grant Jackson (18),0.7220,L
641,642.,Don Aase (13),0.7221,R
642,643.,Lindy McDaniel (21),0.7236,R
643,644.,Julian Tavarez (17),0.7242,R
644,645.,Geoff Zahn (13),0.7253,L
645,646.,Jose DeLeon (13),0.7258,R
646,647.,Tom Glavine+ (22),0.7260,L
647,648.,Justin Masterson (8),0.7269,R
648,649.,Tom Hume (11),0.7293,R
649,650.,Joe Coleman (10),0.7302,R
650,650.,"Adam Wainwright (15, 38)",0.7302,R
651,652.,Derek Lowe (17),0.7311,R
652,653.,Gene Garber (19),0.7331,R
653,654.,Don Drysdale+ (14),0.7343,R
654,655.,John Montefusco (13),0.7353,R
655,656.,Bob Turley (12),0.7357,R
656,657.,Shane Rawley (12),0.7358,L
657,658.,C.J. Wilson (11),0.7362,L
658,659.,Johnny Marcum (7),0.7368,R
659,660.,Tom Underwood (11),0.7377,L
660,661.,Jack Harshman (10),0.7389,L
661,662.,Ken Hill (14),0.7390,R
662,663.,Carlos Zambrano (12),0.7397,R
663,664.,Tom Phoebus (7),0.7427,R
664,665.,Pat Jarvis (8),0.7430,R
665,666.,Stu Miller (16),0.7441,R
666,667.,Clyde Wright (10),0.7445,L
667,668.,Don Gullett (9),0.7446,L
668,669.,Warren Spahn+ (21),0.7449,L
669,670.,Al Jackson (10),0.7450,L
670,671.,Al Leiter (19),0.7453,L
671,672.,Bruce Kison (15),0.7460,R
672,673.,John Smoltz+ (21),0.7463,R
673,674.,Ken Brett (14),0.7489,L
674,674.,Matt Young (10),0.7489,L
675,676.,Rick Wise (18),0.7511,R
676,677.,Hank Johnson (12),0.7512,R
677,678.,Tom Brewer (8),0.7513,R
678,678.,Mike Stanton (19),0.7513,L
679,680.,Tom Gordon (21),0.7514,R
680,681.,Buck Ross (10),0.7515,R
681,682.,Ted Power (13),0.7526,R
682,683.,Mike Scott (13),0.7527,R
683,684.,Dick Drago (13),0.7536,R
684,684.,Bill Voiselle (9),0.7536,R
685,686.,Don Larsen (14),0.7558,R
686,687.,Reggie Cleveland (13),0.7562,R
687,688.,Bob Knepper (15),0.7578,L
688,689.,Johnny Sain (11),0.7579,R
689,690.,Al Worthington (14),0.7580,R
690,691.,Dave McNally (14),0.7582,L
691,692.,Vern Ruhle (13),0.7589,R
692,693.,Jason Isringhausen (16),0.7592,R
693,694.,Bob Shaw (11),0.7593,R
694,695.,Tom Bradley (7),0.7606,R
695,696.,Pedro Martinez+ (18),0.7608,R
696,697.,Rick Mahler (13),0.7610,R
697,698.,Bob Bruce (9),0.7618,R
698,699.,Lary Sorensen (11),0.7620,R
699,700.,Jake Westbrook (13),0.7622,R
700,701.,Mike Fornieles (12),0.7625,R
701,702.,"Charlie Morton (13, 36)",0.7629,R
702,703.,Lynn McGlothen (11),0.7632,R
703,704.,Jack Sanford (12),0.7642,R
704,705.,Britt Burns (8),0.7648,L
705,706.,Bret Saberhagen (16),0.7656,R
706,707.,Tom Murphy (12),0.7666,R
707,708.,John Curtis (15),0.7678,L
708,709.,Eric Rasmussen (8),0.7694,R
709,710.,Wayne Garland (9),0.7702,R
710,711.,Bill Hands (11),0.7704,R
711,712.,Rick Honeycutt (21),0.7708,L
712,713.,Bob Walk (14),0.7725,R
713,714.,Roy Halladay+ (16),0.7726,R
714,715.,Billy Pierce (18),0.7730,L
715,716.,Ned Garver (14),0.7738,R
716,717.,Pascual Perez (11),0.7739,R
717,718.,Frank Sullivan (11),0.7742,R
718,719.,Bob Welch (17),0.7772,R
719,720.,Bert Blyleven+ (22),0.7787,R
720,721.,Wayne Twitchell (10),0.7789,R
721,722.,Fred Hutchinson (11),0.7807,R
722,723.,Todd Jones (16),0.7808,R
723,724.,Mike Witt (12),0.7812,R
724,725.,John Tudor (12),0.7813,L
725,726.,Ken Holtzman (15),0.7816,L
726,727.,Andy Pettitte (18),0.7817,L
727,728.,Bill Krueger (13),0.7837,L
728,729.,Atlee Hammaker (12),0.7843,L
729,730.,Gary Nolan (10),0.7846,R
730,731.,Jim Kaat (25),0.7847,L
731,732.,"Jacob deGrom (7, 32)",0.7848,R
732,733.,John Buzhardt (11),0.7849,R
733,734.,Jesse Orosco (24),0.7851,L
734,735.,Camilo Pascual (18),0.7862,R
735,736.,Randy Gumpert (10),0.7866,R
736,736.,Tim Lincecum (10),0.7866,R
737,738.,Art Houtteman (12),0.7871,R
738,739.,Rick Sutcliffe (18),0.7873,R
739,740.,Roy Oswalt (13),0.7896,R
740,741.,Sandy Koufax+ (12),0.7899,L
741,742.,George Caster (12),0.7905,R
742,743.,Larry McWilliams (13),0.7912,L
743,744.,Greg Harris (15),0.7914,R
744,745.,Nelson Briles (14),0.7927,R
745,746.,Russ Meyer (13),0.7934,R
746,747.,Mike Hampton (16),0.7935,L
747,748.,Stan Bahnsen (16),0.7936,R
748,749.,Jim Brewer (17),0.7959,L
749,749.,Ray Washburn (10),0.7959,R
750,751.,"Gio Gonzalez (13, 34)",0.7962,L
751,752.,Mike Boddicker (14),0.7967,R
752,753.,John Hiller (15),0.7971,L
753,754.,Bob Shirley (11),0.7982,L
754,755.,Ray Herbert (14),0.7989,R
755,755.,Ken Raffensberger (15),0.7989,L
756,757.,Tom Griffin (14),0.8008,R
757,758.,David Cone (17),0.8011,R
758,759.,Dave Wickersham (10),0.8014,R
759,760.,Kirk McCaskill (12),0.8016,R
760,761.,Turk Farrell (14),0.8025,R
761,762.,Phil Niekro+ (24),0.8027,R
762,763.,Paul Quantrill (14),0.8028,R
763,764.,Don Sutton+ (23),0.8042,R
764,765.,Erik Hanson (11),0.8043,R
765,765.,Don Robinson (15),0.8043,R
766,767.,Kevin Appier (16),0.8045,R
767,768.,Hank Aguirre (16),0.8049,L
768,769.,Mike Krukow (14),0.8052,R
769,770.,Dave LaRoche (14),0.8062,L
770,771.,Aaron Cook (11),0.8064,R
771,772.,Roberto Hernandez (17),0.8065,R
772,773.,Ramon Martinez (14),0.8071,R
773,774.,Bob McClure (19),0.8078,L
774,775.,Dan Spillner (12),0.8079,R
775,776.,Jack Knott (11),0.8092,R
776,777.,Dick Ellsworth (13),0.8100,L
777,778.,Steve Gromek (17),0.8108,R
778,779.,George Blaeholder (11),0.8133,R
779,779.,Ken Johnson (13),0.8133,R
780,781.,Mike Caldwell (14),0.8146,L
781,782.,Bill Lee (14),0.8147,L
782,783.,Mike Flanagan (18),0.8155,L
783,784.,Joe Coleman (15),0.8162,R
784,784.,Stan Williams (14),0.8162,R
785,786.,Joe Nuxhall (16),0.8169,L
786,787.,Kelvim Escobar (12),0.8182,R
787,788.,Jeff Russell (14),0.8184,R
788,789.,Frank Lary (12),0.8199,R
789,790.,Juan Marichal+ (16),0.8212,R
790,791.,Dave Dravecky (8),0.8215,L
791,792.,Sonny Siebert (12),0.8239,R
792,793.,Jack McDowell (12),0.8242,R
793,794.,Tom Candiotti (16),0.8257,R
794,795.,Trevor Hoffman+ (18),0.8262,R
795,796.,Randy Lerch (11),0.8269,L
796,797.,Sam Jones (12),0.8270,R
797,798.,Jim Abbott (10),0.8280,L
798,798.,Bob Buhl (15),0.8280,R
799,800.,Jason Schmidt (14),0.8295,R
800,801.,Bob Purkey (13),0.8299,R
801,802.,Paul Lindblad (14),0.8305,L
802,803.,Dennis Leonard (12),0.8313,R
803,804.,Kevin Gross (15),0.8321,R
804,805.,Carl Scheib (11),0.8322,R
805,806.,Jim Hearn (13),0.8347,R
806,807.,Tom Morgan (12),0.8355,R
807,808.,Willie Hernandez (13),0.8357,L
808,809.,George Brunet (15),0.8361,L
809,810.,Pat Dobson (11),0.8362,R
810,811.,Dennis Martinez (23),0.8371,R
811,812.,Craig Swan (12),0.8376,R
812,813.,Paul Minner (10),0.8380,L
813,814.,Dontrelle Willis (9),0.8398,L
814,815.,Dick Tidrow (13),0.8399,R
815,816.,Johnny Antonelli (12),0.8402,L
816,817.,Chris Hammond (14),0.8410,L
817,818.,Milt Pappas (17),0.8418,R
818,819.,Vinegar Bend Mizell (9),0.8419,L
819,820.,Billy Hoeft (15),0.8428,L
820,821.,Dick Bosman (11),0.8429,R
821,822.,Jim Perry (17),0.8437,R
822,823.,Gerry Staley (15),0.8447,R
823,824.,"Lance Lynn (9, 33)",0.8453,R
824,825.,Tom Sturdivant (10),0.8470,R
825,826.,Walt Terrell (11),0.8471,R
826,827.,Shawn Estes (13),0.8473,L
827,828.,Ray Moore (11),0.8474,R
828,828.,Mike Pelfrey (12),0.8474,R
829,830.,Ed Whitson (15),0.8478,R
830,831.,Lew Burdette (18),0.8480,R
831,832.,Mike Bielecki (14),0.8481,R
832,833.,Phil Collins (8),0.8495,R
833,834.,Ron Guidry (14),0.8503,L
834,835.,Jim Lonborg (15),0.8509,R
835,836.,Chris Bosio (11),0.8526,R
836,837.,Teddy Higuera (9),0.8543,L
837,838.,Chuck Finley (17),0.8557,L
838,839.,Steve Avery (11),0.8568,L
839,840.,Mickey Lolich (16),0.8584,L
840,841.,"Sonny Gray (8, 30)",0.8587,R
841,842.,Steve Bedrosian (14),0.8615,R
842,843.,Paul Maholm (10),0.8616,L
843,844.,Jim Colborn (10),0.8621,R
844,845.,Chuck Stobbs (15),0.8624,L
845,846.,Pat Rapp (10),0.8628,R
846,847.,Ray Sadecki (18),0.8639,L
847,848.,Mike Norris (10),0.8645,R
848,849.,Jim McGlothlin (9),0.8652,R
849,850.,Doyle Alexander (19),0.8659,R
850,851.,Juan Berenguer (15),0.8662,R
851,852.,Jeff Reardon (16),0.8664,R
852,853.,A.J. Burnett (17),0.8666,R
853,854.,Alan Foster (10),0.8690,R
854,855.,Russ Kemmerer (9),0.8691,R
855,856.,Scott Erickson (15),0.8692,R
856,857.,David Weathers (19),0.8697,R
857,858.,Art Fowler (9),0.8701,R
858,859.,"Felix Hernandez (15, 34)",0.8704,R
859,860.,Eddie Fisher (15),0.8715,R
860,861.,Matt Morris (11),0.8721,R
861,862.,Jaime Garcia (10),0.8722,L
862,863.,Fred Norman (16),0.8723,L
863,864.,Jim Clancy (15),0.8724,R
864,865.,Joey Hamilton (10),0.8727,R
865,866.,John Smiley (12),0.8728,L
866,867.,John Candelaria (19),0.8730,L
867,868.,John Burkett (15),0.8734,R
868,868.,Doug Drabek (13),0.8734,R
869,870.,Zach Duke (15),0.8735,L
870,871.,Bill Stoneman (8),0.8736,R
871,872.,Dan Schatzeder (15),0.8747,L
872,873.,Mike Morgan (22),0.8765,R
873,874.,"Dallas Keuchel (9, 32)",0.8767,L
874,875.,Jose Mesa (19),0.8775,R
875,876.,Jim Nash (7),0.8778,R
876,877.,Andy Hawkins (10),0.8779,R
877,878.,Jack Fisher (11),0.8792,R
878,879.,Hiroki Kuroda (7),0.8802,R
879,880.,Moose Haas (12),0.8810,R
880,881.,Dan Plesac (18),0.8815,L
881,882.,Mike Timlin (18),0.8818,R
882,883.,Jimmy Key (15),0.8821,L
883,884.,Sal Maglie (10),0.8828,R
884,885.,Jim Wilson (12),0.8830,R
885,886.,Dick Donovan (15),0.8833,R
886,887.,Glen Hobbie (8),0.8836,R
887,888.,Jamey Wright (19),0.8838,R
888,889.,"Corey Kluber (10, 34)",0.8848,R
889,890.,Doug Fister (10),0.8859,R
890,891.,Tim Leary (13),0.8871,R
891,892.,Juan Pizarro (18),0.8892,L
892,893.,Darryl Kile (12),0.8895,R
893,894.,Jim Bunning+ (17),0.8903,R
894,895.,Murry Dickson (18),0.8905,R
895,895.,Joey Jay (13),0.8905,R
896,897.,Ray Culp (11),0.8913,R
897,898.,Rheal Cormier (16),0.8914,L
898,899.,Ross Grimsley (11),0.8915,L
899,900.,Chris Carpenter (15),0.8922,R
900,900.,Billy Loes (11),0.8922,R
901,902.,Miguel Batista (18),0.8925,R
902,903.,Luis Tiant (19),0.8932,R
903,904.,"Kyle Hendricks (7, 30)",0.8937,R
904,905.,Chuck Dobson (9),0.8940,R
905,906.,Randy Johnson+ (22),0.8945,L
906,907.,Mario Soto (12),0.8946,R
907,908.,Steve Renko (15),0.8949,R
908,909.,Ubaldo Jimenez (12),0.8952,R
909,910.,Alex Kellner (12),0.8955,L
910,911.,Pete Richert (13),0.8956,L
911,912.,"Brett Anderson (12, 32)",0.8963,L
912,913.,Larry Gura (16),0.8969,L
913,914.,"Stephen Strasburg (11, 31)",0.8977,R
914,915.,Omar Olivares (12),0.8991,R
915,916.,Vern Law (16),0.9027,R
916,917.,Dave Stewart (16),0.9035,R
917,918.,Ralph Branca (12),0.9036,R
918,919.,Juan Guzman (10),0.9040,R
919,920.,Erik Bedard (11),0.9044,L
920,921.,Doug Bird (11),0.9047,R
921,922.,Ted Gray (9),0.9048,L
922,923.,Mat Latos (9),0.9052,R
923,924.,Charlie Hough (25),0.9068,R
924,925.,Clay Kirby (8),0.9070,R
925,925.,Don Mossi (12),0.9070,L
926,925.,Brad Penny (14),0.9070,R
927,928.,Ray Burris (15),0.9088,R
928,929.,Milt Wilcox (16),0.9104,R
929,930.,Matt Cain (13),0.9105,R
930,931.,Ron Darling (13),0.9113,R
931,932.,"Zack Greinke (17, 36)",0.9126,R
932,933.,"Francisco Liriano (14, 36)",0.9131,L
933,934.,Jack Morris+ (18),0.9155,R
934,935.,"Gerrit Cole (8, 29)",0.9156,R
935,936.,Turk Lown (11),0.9157,R
936,937.,Tony Cloninger (12),0.9165,R
937,938.,Matt Clement (9),0.9174,R
938,939.,Gene Conley (11),0.9178,R
939,940.,"David Price (12, 34)",0.9179,L
940,941.,Dave Rozema (10),0.9195,R
941,942.,Bobby Witt (16),0.9201,R
942,943.,Sid Fernandez (15),0.9209,L
943,944.,Diego Segui (15),0.9211,R
944,945.,Marty Pattin (13),0.9227,R
945,946.,Jim Bouton (10),0.9228,R
946,947.,Roy Face (16),0.9229,R
947,947.,Cal McLish (15),0.9229,R
948,949.,Jack Kralick (9),0.9236,L
949,950.,Kenny Rogers (20),0.9238,L
950,951.,Gary Bell (12),0.9246,R
951,952.,Mike Moore (14),0.9249,R
952,953.,"Edinson Volquez (15, 36)",0.9254,R
953,954.,Steve Stone (11),0.9260,R
954,955.,Denny Lemaster (11),0.9263,L
955,956.,Hal Brown (14),0.9268,R
956,957.,"Jose Quintana (9, 31)",0.9271,L
957,958.,Johnny Klippstein (18),0.9285,R
958,959.,Dick Hall (19),0.9288,R
959,960.,Jim Slaton (16),0.9290,R
960,961.,Dave Boswell (8),0.9293,R
961,962.,Eric Show (11),0.9299,R
962,963.,Cliff Lee (13),0.9306,L
963,964.,"Jon Lester (15, 36)",0.9316,L
964,965.,Frank Viola (15),0.9329,L
965,966.,"Jake Arrieta (11, 34)",0.9335,R
966,967.,"Justin Verlander (16, 37)",0.9337,R
967,968.,Preacher Roe (12),0.9356,L
968,969.,Bobby Bolin (13),0.9365,R
969,970.,Wally Bunker (9),0.9370,R
970,971.,Jaime Navarro (12),0.9371,R
971,972.,Clay Buchholz (13),0.9390,R
972,973.,Steve McCatty (9),0.9391,R
973,974.,Ron Kline (17),0.9398,R
974,975.,Richard Dotson (12),0.9401,R
975,976.,Aaron Sele (15),0.9405,R
976,977.,Craig Lefferts (12),0.9427,L
977,978.,Dan Petry (13),0.9431,R
978,979.,Doug Davis (13),0.9442,L
979,980.,Mark Langston (16),0.9448,L
980,981.,"Johnny Cueto (13, 34)",0.9470,R
981,982.,Jeff Fassero (16),0.9471,L
982,983.,Jose Guzman (8),0.9483,R
983,984.,Mike Mussina+ (18),0.9499,R
984,984.,"Chris Sale (10, 31)",0.9499,L
985,986.,Dennis Eckersley+ (24),0.9505,R
986,987.,Bud Black (15),0.9511,L
987,988.,Brooks Lawrence (7),0.9513,R
988,989.,Pete Falcone (10),0.9531,L
989,990.,Ruben Gomez (10),0.9532,R
990,991.,Don Cardwell (14),0.9538,R
991,992.,Eric Plunk (14),0.9540,R
992,993.,Arthur Rhodes (20),0.9548,L
993,994.,Melido Perez (9),0.9567,R
994,995.,Danny Darwin (21),0.9577,R
995,995.,Curt Schilling (20),0.9577,R
996,997.,"Jhoulys Chacin (12, 32)",0.9585,R
997,998.,Shane Reynolds (13),0.9594,R
998,999.,Lew Krausse (12),0.9605,R
